,site,nf,lenght
299,6elq_B_Fe_14337_OK,16.4048,967
300,3zea_A_Fe_11800_OK,60.7132,1870
301,2fug_J_Fe_73813_OK,128.031,6525
302,5zgh_C_Fe_29741_OK,128.004,65230
303,1q16_B_Fe_15873_OK,13.4524,484
304,2e7z_A_Fe_7640_OK,128.007,13738
305,5odq_A_Fe_31126_OK,0.039163,1
306,3k1a_D_Fe_15875_OK,72.384,3206
307,5efv_A_Fe_15328_OK,0.915616,36
308,5odq_G_Fe_31397_OK,0.039163,1
309,1fxr_B_Fe_1016_OK,128.057,49306
310,3cix_A_Fe_2774_OK,128.045,35237
311,1js2_A_Fe_2648_OK,42.3298,649
312,2azq_A_Fe_2413_OK,56.5866,1765
313,2min_D_Fe_15847_OK,72.384,3206
314,1r27_D_Fe_26992_OK,15.0892,560
315,1m1n_F_Fe_32318_OK,72.384,3206
316,6o7s_B_Fe_31056_OK,72.3825,3206
317,4hea_D_Fe_73987_OK,128.014,10110
318,4tkv_D_Fe_16568_OK,72.384,3206
319,4tkv_A_Fe_16456_OK,79.7267,2990
320,1su7_A_Fe_4657_OK,18.2145,876
321,2gmj_B_Fe_9169_OK,47.9543,4884
322,4zlw_E_Fe_10049_OK,128.027,10139
323,1u8v_B_Fe_15313_OK,128.022,17088
324,5n6y_D_Fe_16834_OK,88.252,3178
325,1y5i_B_Fe_15756_OK,13.4524,484
326,5v26_A_Fe_2797_OK,79.972,5646
327,6elq_B_Fe_14336_OK,16.4048,967
328,2min_D_Fe_15837_OK,72.384,3206
329,1fgm_A_Fe_6568_OK,18.3718,1386
330,1frf_S_Fe_6142_OK,61.8297,2308
331,1j3q_A_Fe_2970_OK,113.769,6701
332,3gyx_F_Fe_39266_OK,27.3772,1431
333,2fl0_F_Fe_10107_OK,128.062,18204
334,1m34_L_Fe_48798_OK,72.384,3206
335,1su6_A_Fe_4669_OK,18.2145,876
336,1mio_C_Fe_15258_OK,40.8258,2455
337,1k0t_A_Fe_1180_OK,128.071,62598
338,2qh1_B_Fe_2920_OK,128.037,36510
339,2ynm_D_Fe_11369_OK,71.1385,2888
340,1uwv_A_Fe_3242_OK,128.018,6279
341,5tqn_B_Fe_41321_OK,19.7747,1391
342,1hfe_L_Fe_7798_OK,108.296,3225
343,1ru3_A_Fe_5765_OK,4.41908,242
344,1su7_A_Fe_4658_OK,18.2145,876
345,2vpw_E_Fe_18797_OK,128.032,13879
346,1upx_A_Fe_8404_OK,33.7246,1332
347,4wna_A_Fe_16080_OK,80.5026,2990
348,2wpn_A_Fe_5851_OK,60.9907,1885
349,1e08_A_Fe_4992_OK,119.356,3549
350,6o7s_B_Fe_31054_OK,72.3825,3206
351,1b0l_A_Fe_5339_OK,16.6135,732
352,4wzb_G_Fe_24155_OK,128.038,54976
353,2pda_B_Fe_18835_OK,14.1296,769
354,5kja_B_Fe_18823_OK,103.404,3110
355,6alm_A_Fe_2657_OK,128.033,8621
356,1fp6_C_Fe_8758_OK,128.027,53628
357,6elq_X_Fe_14306_OK,16.4048,967
358,2ivf_B_Fe_11753_OK,15.0967,1450
359,1kek_A_Fe_18773_OK,14.1296,769
360,1r27_D_Fe_27000_OK,15.0892,560
361,3u44_B_Fe_19113_OK,128.01,13380
362,1vzg_A_Fe_2133_OK,81.3005,1224
363,3or1_D_Fe_14660_OK,14.3161,2590
364,4unf_A_Fe_1921_OK,128.047,20952
365,1c96_A_Fe_5827_OK,94.2379,6144
366,3cf4_A_Fe_7182_OK,9.36486,677
367,1b0v_C_Fe_3402_OK,128.021,17984
368,4c1n_A_Fe_38576_OK,11.376,983
369,4amf_A_Fe_18008_OK,51.5385,2200
370,1b0y_A_Fe_627_OK,50.3695,774
371,5fle_X_Fe_4782_OK,18.2145,876
372,3or2_D_Fe_14606_OK,14.3641,2592
373,1kek_A_Fe_18774_OK,14.1296,770
374,2gp3_B_Fe_5659_OK,32.6668,2166
375,4mn9_A_Fe_1525_OK,128.013,7928
376,1q16_B_Fe_15863_OK,13.4524,484
377,4lqj_A_Fe_1547_OK,128.005,8019
378,5g5g_B_Fe_9348_OK,128.043,8005
379,1fp6_A_Fe_8693_OK,128.029,53171
380,1su8_A_Fe_4673_OK,18.2145,876
381,3is8_S_Fe_31343_OK,128.042,17800
382,1gn9_A_Fe_8189_OK,33.7289,1332
383,2vkr_B_Fe_5429_OK,128.056,49962
384,6bbl_D_Fe_31709_OK,72.384,3206
385,3o3m_C_Fe_24924_OK,103.594,2718
386,1c4a_A_Fe_4490_OK,46.9095,2702
387,2vpw_B_Fe_18775_OK,128.027,11772
388,5odq_G_Fe_31395_OK,0.039163,1
389,5l2r_A_Fe_8250_OK,14.3502,537
390,2bs4_E_Fe_18445_OK,128.006,8173
391,2min_C_Fe_15839_OK,84.5649,3041
392,1m34_N_Fe_48822_OK,128.048,54545
393,1e08_A_Fe_4977_OK,119.356,3549
394,1m34_I_Fe_48752_OK,80.489,2990
395,3bk7_A_Fe_4733_OK,8.06742,364
396,1fp4_C_Fe_15853_OK,84.5732,3028
397,2ivf_B_Fe_11748_OK,15.0967,1450
398,6fos_A_Fe_23663_OK,3.10758,276
399,1b4u_D_Fe_6701_OK,128.001,6756
400,3cf4_A_Fe_7170_OK,9.36486,678
401,1z9j_B_Fe_6467_OK,10.3174,492
402,3k1a_C_Fe_15872_OK,84.3728,3049
403,5odr_G_Fe_31378_OK,0.039163,1
404,5odq_A_Fe_31124_OK,0.039163,1
405,1hlq_C_Fe_1740_OK,55.3951,774
406,1fxr_B_Fe_1018_OK,128.057,49306
407,2csg_A_Fe_3455_OK,32.1828,6022
408,2vkr_B_Fe_5428_OK,128.056,49962
409,1drt_A_Fe_2450_OK,128.001,8689
410,1jqk_A_Fe_26796_OK,16.1859,932
411,1kek_A_Fe_18789_OK,14.1296,769
412,2fja_B_Fe_12964_OK,32.4975,1937
413,5l2r_A_Fe_8251_OK,14.3502,537
414,3cf4_A_Fe_7171_OK,9.36486,678
415,2qed_A_Fe_2172_OK,128.062,23111
416,4tkv_D_Fe_16569_OK,72.384,3206
417,3aeu_A_Fe_12729_OK,105.746,3242
418,4xdc_B_Fe_18076_OK,45.8999,2680
419,5xvd_T_Fe_12950_OK,66.3552,2228
420,4yt4_A_Fe_2608_OK,66.9952,3584
421,3vsh_D_Fe_8921_OK,128.002,6798
422,2rg4_B_Fe_3276_OK,108.032,2763
423,1k0t_A_Fe_1188_OK,128.071,63027
424,4fe1_B_Fe_20423_OK,2.97283,288
425,6o7l_D_Fe_30939_OK,72.3825,3206
426,1ahj_E_Fe_12839_OK,29.6054,633
427,1jnr_B_Fe_12822_OK,32.4975,1937
428,4urh_B_Fe_25063_OK,62.078,2306
429,1m34_F_Fe_48577_OK,128.048,54545
430,6cin_F_Fe_53400_OK,15.5242,889
431,4dhv_B_Fe_1050_OK,128.081,43795
432,2goy_H_Fe_14551_OK,128.035,33782
433,2gmh_A_Fe_9130_OK,46.5563,4644
434,3k1a_C_Fe_15865_OK,84.3728,3049
435,4wes_B_Fe_15499_OK,95.0972,3226
436,1e08_A_Fe_4984_OK,119.356,3549
437,2gmh_A_Fe_9131_OK,46.5563,4644
438,2fug_C_Fe_73704_OK,128.026,10348
439,1dur_A_Fe_390_OK,128.034,12510
440,3p4q_N_Fe_16794_OK,128.008,8908
441,2min_D_Fe_15848_OK,72.384,3206
442,4m27_A_Fe_10620_OK,128.035,7663
443,1h1l_A_Fe_15432_OK,81.9566,2954
444,1bc6_A_Fe_1177_OK,128.013,53751
445,2ows_A_Fe_2438_OK,128.011,49939
446,4qdc_A_Fe_2992_OK,121.038,3753
447,1n04_A_Fe_5246_OK,16.6145,729
448,1h1l_C_Fe_15481_OK,81.9566,2954
449,1hpi_A_Fe_551_OK,48.1692,713
450,5l2r_A_Fe_8249_OK,14.3502,537
451,3myr_E_Fe_25727_OK,65.4616,2242
452,5odr_G_Fe_31348_OK,0.039163,1
453,2afh_B_Fe_20339_OK,72.384,3206
454,4cei_B_Fe_19646_OK,128.001,12546
455,1lox_A_Fe_5111_OK,26.8006,1602
456,6eno_A_Fe_6899_OK,113.793,3119
457,6f0k_B_Fe_39973_OK,27.1887,9016
458,1gnt_A_Fe_4270_OK,36.1306,1297
459,1h1l_D_Fe_15489_OK,76.4086,3168
460,5t5v_B_Fe_42234_OK,19.7464,1391
461,5t5i_F_Fe_28049_OK,4.26327,921
462,4c1n_A_Fe_38577_OK,11.376,983
463,6elq_B_Fe_14358_OK,16.4048,967
464,5jk5_A_Fe_6422_OK,21.2643,1379
465,4xpi_A_Fe_15999_OK,79.9935,2945
466,1eoa_B_Fe_3531_OK,63.1173,3733
467,4bv1_A_Fe_3609_OK,106.639,1598
468,1frf_S_Fe_6157_OK,61.8297,2308
469,1g20_C_Fe_23797_OK,80.7332,3012
470,1tv8_A_Fe_5308_OK,128.043,43791
471,1pih_A_Fe_565_OK,44.1311,708
472,2iuw_A_Fe_1705_OK,128.035,7162
473,1tko_B_Fe_5492_OK,128.036,10352
474,3b53_X_Fe_4766_OK,18.2145,876
475,3cf4_A_Fe_7192_OK,9.36486,678
476,3lx4_A_Fe_6208_OK,65.7642,2681
477,4dhv_A_Fe_1071_OK,128.035,26624
478,5odq_G_Fe_31365_OK,0.039163,1
479,5odc_G_Fe_31320_OK,0.039133,1
480,5odq_G_Fe_31398_OK,0.039163,1
481,3d3l_A_Fe_7163_OK,48.3641,1712
482,4wes_C_Fe_15537_OK,41.1102,2464
483,3p4q_N_Fe_16795_OK,128.008,8909
484,4urh_B_Fe_25048_OK,62.078,2306
485,1m1n_E_Fe_32317_OK,80.5026,2990
486,5l2r_B_Fe_8326_OK,14.3122,537
487,3t7v_A_Fe_2704_OK,128.042,28582
488,4d7p_A_Fe_757_OK,128.005,1981
489,2wpn_A_Fe_5852_OK,60.9907,1885
490,6bbl_D_Fe_31705_OK,72.384,3206
491,5mkp_A_Fe_2504_OK,128.053,29312
492,4s38_A_Fe_3193_OK,60.059,2612
493,1mio_D_Fe_15259_OK,95.2012,3226
494,2goy_E_Fe_14501_OK,128.032,33689
495,5c6f_A_Fe_17144_OK,128.023,14010
496,1e08_A_Fe_4976_OK,119.356,3549
497,2b1x_A_Fe_14569_OK,103.741,3660
498,5ek8_A_Fe_5405_OK,1.03144,475
499,3gzx_A_Fe_5097_OK,98.5718,2893
500,6cin_A_Fe_53108_OK,15.2868,839
501,1m34_A_Fe_48512_OK,80.489,2990
502,5t5m_G_Fe_14147_OK,128.016,64268
503,1feh_A_Fe_4463_OK,46.9095,2702
504,5hdq_A_Fe_5396_OK,128.019,8338
505,2afh_A_Fe_20330_OK,80.7332,3012
506,1fp4_D_Fe_15861_OK,72.384,3206
507,1c4a_A_Fe_4498_OK,46.9095,2702
508,5l2r_B_Fe_8327_OK,14.3122,537
509,1n2c_C_Fe_24304_OK,80.489,2990
510,2fdn_A_Fe_739_OK,128.083,13523
511,6o7l_C_Fe_30936_OK,82.1847,3043
512,1b0v_B_Fe_3384_OK,128.021,17983
513,1be7_A_Fe_424_OK,128.113,4235
514,6o7l_D_Fe_30938_OK,72.3825,3206
515,1tv7_A_Fe_5289_OK,128.043,43792
516,4ci0_B_Fe_6891_OK,66.7838,2885
517,5odr_A_Fe_31100_OK,0.039163,1
518,3u44_B_Fe_19114_OK,128.01,13380
519,1e08_A_Fe_4978_OK,119.356,3549
520,3mm5_B_Fe_12612_OK,84.147,8607
521,1m34_E_Fe_48578_OK,128.048,54545
522,2vpw_B_Fe_18749_OK,128.027,11772
523,5odq_G_Fe_31364_OK,0.039163,1
524,2cb2_E_Fe_15048_OK,1.06833,35
525,5odc_I_Fe_31395_OK,128.059,9885
526,3th1_B_Fe_5385_OK,93.8556,3197
527,1e7p_B_Fe_36791_OK,128.006,8173
528,3bk7_A_Fe_4744_OK,8.06742,364
529,1hfe_L_Fe_7796_OK,108.296,3225
530,1y5i_B_Fe_15754_OK,13.4524,484
531,1m34_L_Fe_48809_OK,72.384,3206
532,3rn4_A_Fe_1621_OK,128.045,5196
533,1bsz_A_Fe_4126_OK,128.029,8268
534,1oa0_A_Fe_8361_OK,33.7246,1332
535,1gn9_B_Fe_8203_OK,33.7289,1332
536,1do6_A_Fe_2031_OK,78.3108,1124
537,1oao_C_Fe_21975_OK,4.48518,242
538,5n6y_E_Fe_16829_OK,95.4619,3177
539,4ci0_B_Fe_6885_OK,66.7838,2885
