,site,length,neff
158,1iau_A_Zn_1922_OK,226,11.899999618530273
159,1iau_A_Zn_1923_OK,226,11.899999618530273
160,1iau_A_Zn_1924_OK,226,11.899999618530273
161,1ibq_A_Zn_4860_OK,325,10.800000190734863
162,1ibq_B_Zn_4886_OK,325,10.800000190734863
163,1ibq_B_Zn_4887_OK,325,10.800000190734863
164,1ibq_B_Zn_4888_OK,325,10.800000190734863
165,1ijl_A_Zn_1926_OK,123,6.5999999046325675
166,1io0_A_Zn_1299_OK,166,10.5
167,1iuj_A_Zn_1681_OK,102,10.899999618530273
168,1iuj_B_Zn_1682_OK,103,10.899999618530273
169,1iuj_B_Zn_1684_OK,103,11.0
170,1iuj_B_Zn_1687_OK,103,10.899999618530273
171,1iwl_A_Zn_1411_OK,177,10.5
172,1iwl_A_Zn_1412_OK,177,10.5
173,1iwl_A_Zn_1413_OK,177,10.399999618530273
174,1j2x_A_Zn_720_OK,70,4.900000095367432
175,1j9y_A_Zn_2727_OK,337,8.100000381469728
176,1j9y_A_Zn_2728_OK,337,8.100000381469728
177,1j9y_A_Zn_2729_OK,337,8.100000381469728
178,1jaz_A_Zn_4603_OK,307,8.699999809265138
179,1jaz_B_Zn_4605_OK,305,8.699999809265138
180,1jcc_C_Zn_1100_OK,53,4.599999904632568
181,1jf1_A_Zn_3148_OK,273,10.199999809265137
182,1jf1_B_Zn_3148_OK,100,10.800000190734863
183,1jje_B_Zn_3481_OK,221,9.699999809265137
184,1jk9_B_Zn_5965_OK,243,8.600000381469728
185,1jk9_C_Zn_5965_OK,153,9.100000381469727
186,1jke_A_Zn_4464_OK,145,6.5999999046325675
187,1jke_A_Zn_4465_OK,145,6.5999999046325675
188,1jke_A_Zn_4466_OK,145,6.5999999046325675
189,1jke_A_Zn_4468_OK,145,6.5999999046325675
190,1jke_C_Zn_4465_OK,145,6.5999999046325675
191,1jke_C_Zn_4466_OK,145,6.5999999046325675
192,1jke_C_Zn_4468_OK,145,6.5999999046325675
193,1jke_C_Zn_4469_OK,145,6.5999999046325675
194,1jke_D_Zn_4471_OK,145,6.5999999046325675
195,1jke_D_Zn_4472_OK,145,7.0
196,1jke_D_Zn_4473_OK,145,6.5999999046325675
197,1jke_D_Zn_4474_OK,145,7.0
198,1jke_D_Zn_4475_OK,145,6.5999999046325675
199,1jml_A_Zn_562_OK,72,2.5
200,1jml_A_Zn_563_OK,72,2.5
201,1job_A_Zn_1323_OK,162,2.0999999046325684
202,1job_A_Zn_1324_OK,162,2.0999999046325684
203,1job_A_Zn_1325_OK,162,2.0999999046325684
204,1jod_A_Zn_2613_OK,160,2.200000047683716
205,1jod_A_Zn_2615_OK,160,2.200000047683716
206,1jod_A_Zn_2616_OK,160,2.200000047683716
207,1jod_A_Zn_2617_OK,160,2.200000047683716
208,1jod_A_Zn_2620_OK,160,2.200000047683716
209,1jod_A_Zn_2621_OK,160,2.200000047683716
210,1jod_A_Zn_2624_OK,160,2.200000047683716
211,1jod_A_Zn_2625_OK,160,2.200000047683716
212,1jod_B_Zn_2615_OK,160,2.200000047683716
213,1jod_B_Zn_2645_OK,160,2.200000047683716
214,1jod_B_Zn_2649_OK,160,2.200000047683716
215,1jpu_A_Zn_2788_OK,361,9.300000190734863
216,1jr9_A_Zn_1585_OK,201,7.5999999046325675
217,1jv0_A_Zn_3999_OK,257,9.100000381469727
218,1jv0_B_Zn_4009_OK,256,9.100000381469727
219,1k24_A_Zn_1954_OK,249,7.9000000953674325
220,1k24_A_Zn_1955_OK,249,7.9000000953674325
221,1k24_A_Zn_1956_OK,249,7.9000000953674325
222,1k4p_A_Zn_1643_OK,216,7.5999999046325675
223,1k4p_A_Zn_1644_OK,216,7.5999999046325675
224,1k4p_A_Zn_1645_OK,216,7.5999999046325675
225,1k4p_A_Zn_1646_OK,216,7.5999999046325675
226,1k51_A_Zn_554_OK,72,2.5
227,1k52_B_Zn_1130_OK,72,2.900000095367432
228,1k53_A_Zn_1141_OK,72,2.5
229,1k53_A_Zn_1142_OK,72,2.5
230,1k53_A_Zn_1145_OK,72,2.5
231,1k53_A_Zn_1146_OK,72,2.5
232,1k53_B_Zn_1147_OK,72,2.5
233,1k53_B_Zn_1148_OK,72,2.5
234,1kea_A_Zn_1784_OK,217,9.699999809265137
235,1kl9_A_Zn_1304_OK,168,7.9000000953674325
236,1kl9_A_Zn_1305_OK,168,7.9000000953674325
237,1kl9_A_Zn_1307_OK,168,7.9000000953674325
238,1kn2_L_Zn_3394_OK,219,12.399999618530273
239,1kys_A_Zn_1796_OK,224,4.900000095367432
240,1kys_A_Zn_1797_OK,224,4.900000095367432
241,1kys_A_Zn_1798_OK,224,4.900000095367432
242,1kys_A_Zn_1799_OK,224,4.900000095367432
243,1l0h_A_Zn_593_OK,76,11.800000190734865
244,1l0i_A_Zn_618_OK,77,11.699999809265135
245,1l0i_A_Zn_624_OK,77,11.800000190734865
246,1l0i_A_Zn_626_OK,77,11.800000190734865
247,1l0i_A_Zn_628_OK,77,11.899999618530273
248,1l0i_A_Zn_629_OK,77,11.699999809265135
249,1l0y_B_Zn_7106_OK,220,5.9000000953674325
250,1l7o_A_Zn_3202_OK,200,11.199999809265137
251,1l7o_A_Zn_3207_OK,200,11.199999809265137
252,1l7o_B_Zn_3207_OK,208,11.600000381469727
253,1l9h_A_Zn_5265_OK,340,11.899999618530273
254,1lan_A_Zn_3716_OK,485,7.699999809265138
255,1lr0_A_Zn_970_OK,126,8.800000190734863
256,1lu0_A_Zn_479_OK,29,2.299999952316284
257,1lu0_B_Zn_479_OK,29,2.299999952316284
258,1lug_A_Zn_2122_OK,259,9.199999809265137
259,1m2a_A_Zn_1624_OK,103,9.699999809265137
260,1m2a_A_Zn_1625_OK,103,9.699999809265137
261,1m2a_A_Zn_1626_OK,103,9.699999809265137
262,1m2a_A_Zn_1627_OK,103,9.699999809265137
263,1m2x_C_Zn_7275_OK,217,9.800000190734863
264,1m55_A_Zn_3164_OK,193,5.199999809265137
265,1m55_B_Zn_3167_OK,193,5.199999809265137
266,1m55_B_Zn_3169_OK,193,5.199999809265137
267,1m5e_A_Zn_6151_OK,258,12.5
268,1m5e_B_Zn_6151_OK,258,12.5
269,1m5e_B_Zn_6173_OK,258,12.5
270,1m5e_B_Zn_6174_OK,258,12.5
271,1mey_C_Zn_2640_OK,83,13.800000190734865
272,1mey_C_Zn_2647_OK,83,13.800000190734865
273,1mey_G_Zn_2647_OK,28,15.300000190734865
274,1mkm_A_Zn_3971_OK,246,10.5
275,1mrd_L_Zn_3172_OK,216,12.699999809265135
276,1ms7_B_Zn_6072_OK,258,12.5
277,1mwo_A_Zn_3571_OK,434,10.199999809265137
278,1mwo_A_Zn_3572_OK,434,10.199999809265137
279,1mwo_A_Zn_3573_OK,434,10.199999809265137
280,1mwo_A_Zn_3574_OK,434,10.199999809265137
281,1mwo_A_Zn_3575_OK,434,10.199999809265137
282,1mwo_A_Zn_3576_OK,434,10.199999809265137
283,1mwq_A_Zn_1709_OK,100,9.5
284,1mwq_B_Zn_1738_OK,100,9.5
285,1mwq_B_Zn_1739_OK,100,9.5
286,1mzb_A_Zn_1040_OK,133,9.5
287,1mzb_A_Zn_1042_OK,133,9.5
288,1mzb_A_Zn_1043_OK,133,9.5
289,1n08_B_Zn_2562_OK,155,8.699999809265138
290,1nd2_A_Zn_6338_OK,285,7.300000190734862
291,1nlx_A_Zn_11145_OK,104,3.2000000476837163
292,1nlx_A_Zn_11158_OK,104,3.2000000476837163
293,1nlx_C_Zn_11147_OK,104,3.2000000476837163
294,1nlx_D_Zn_11135_OK,104,3.2000000476837163
295,1nlx_E_Zn_11135_OK,104,3.2000000476837163
296,1nlx_E_Zn_11136_OK,104,3.2000000476837163
297,1nlx_E_Zn_11141_OK,104,3.2000000476837163
298,1nlx_F_Zn_11135_OK,104,3.2000000476837163
299,1nlx_F_Zn_11136_OK,104,3.2000000476837163
300,1nlx_G_Zn_11142_OK,104,3.2000000476837163
301,1nlx_I_Zn_11139_OK,104,3.2000000476837163
302,1nlx_I_Zn_11140_OK,104,3.2000000476837163
303,1nlx_J_Zn_11139_OK,104,3.2000000476837163
304,1nlx_J_Zn_11140_OK,104,3.2000000476837163
305,1nlx_J_Zn_11154_OK,104,3.2000000476837163
306,1nlx_K_Zn_11142_OK,104,3.2000000476837163
307,1nlx_L_Zn_11136_OK,104,3.2000000476837163
308,1nlx_L_Zn_11141_OK,104,3.2000000476837163
309,1nlx_L_Zn_11142_OK,104,3.2000000476837163
310,1nlx_M_Zn_11140_OK,104,3.2000000476837163
311,1nlx_N_Zn_11145_OK,104,3.2000000476837163
312,1nlx_N_Zn_11158_OK,104,3.2000000476837163
313,1nnq_A_Zn_2618_OK,170,9.399999618530273
314,1nnq_A_Zn_2622_OK,170,9.399999618530273
315,1nnq_B_Zn_2618_OK,170,9.399999618530273
316,1nnq_B_Zn_2622_OK,170,9.399999618530273
317,1no5_B_Zn_1669_OK,102,10.300000190734863
318,1noy_B_Zn_5953_OK,346,8.899999618530273
319,1nvt_A_Zn_4403_OK,287,10.0
320,1nvt_B_Zn_4452_OK,287,10.0
321,1nw2_A_Zn_6489_OK,105,12.100000381469727
322,1nw2_B_Zn_6498_OK,105,12.100000381469727
323,1nw2_D_Zn_6522_OK,105,12.0
324,1nw2_D_Zn_6529_OK,105,11.899999618530273
325,1nw2_E_Zn_6524_OK,105,12.0
326,1nw2_F_Zn_6529_OK,105,12.0
327,1nw2_H_Zn_6498_OK,105,12.100000381469727
328,1nwp_A_Zn_1920_OK,128,9.199999809265137
329,1nwp_B_Zn_1924_OK,128,9.199999809265137
330,1nze_A_Zn_878_OK,112,6.300000190734862
331,1o06_A_Zn_174_OK,20,3.2999999523162837
332,1o06_A_Zn_175_OK,20,3.2999999523162837
333,1o06_A_Zn_176_OK,20,3.2999999523162837
334,1oah_A_Zn_7931_OK,475,9.0
335,1oah_A_Zn_7932_OK,475,9.0
336,1odz_A_Zn_6104_OK,379,7.800000190734862
337,1oep_A_Zn_3214_OK,422,9.5
338,1p42_A_Zn_4408_OK,267,6.800000190734862
339,1pgu_A_Zn_9371_OK,606,12.399999618530273
340,1pgu_A_Zn_9372_OK,606,12.300000190734865
341,1pgu_B_Zn_9371_OK,608,12.300000190734865
342,1pgu_B_Zn_9372_OK,608,12.300000190734865
343,1pjp_A_Zn_1815_OK,226,12.0
344,1pp7_U_Zn_1442_OK,114,4.199999809265137
345,1pp7_U_Zn_1443_OK,114,4.199999809265137
346,1pvw_B_Zn_5228_OK,219,7.199999809265138
347,1py2_B_Zn_3839_OK,116,2.700000047683716
348,1q0a_A_Zn_1451_OK,91,9.600000381469727
349,1q7h_A_Zn_1169_OK,151,8.5
350,1q9l_C_Zn_6808_OK,219,12.5
351,1q9u_A_Zn_2101_OK,126,9.399999618530273
352,1q9u_A_Zn_2102_OK,126,9.399999618530273
353,1q9u_A_Zn_2103_OK,126,9.399999618530273
354,1q9u_A_Zn_2104_OK,126,9.399999618530273
355,1q9u_A_Zn_2105_OK,126,9.399999618530273
356,1q9u_A_Zn_2106_OK,126,9.399999618530273
357,1q9u_B_Zn_2108_OK,126,9.399999618530273
358,1q9u_B_Zn_2109_OK,126,9.399999618530273
359,1q9u_B_Zn_2112_OK,126,9.399999618530273
360,1q9u_B_Zn_2114_OK,126,9.399999618530273
361,1q9u_B_Zn_2115_OK,126,9.399999618530273
362,1q9u_B_Zn_2116_OK,126,9.399999618530273
363,1qhw_A_Zn_2415_OK,300,12.100000381469727
364,1qu3_A_Zn_8719_OK,880,9.600000381469727
365,1qvn_A_Zn_3922_OK,123,2.700000047683716
366,1qvn_B_Zn_3921_OK,122,2.700000047683716
367,1qvn_B_Zn_3923_OK,122,2.700000047683716
368,1qvn_D_Zn_3921_OK,123,2.700000047683716
369,1qx2_A_Zn_1234_OK,76,12.0
370,1qx2_B_Zn_1234_OK,75,12.100000381469727
371,1qx2_B_Zn_1235_OK,75,12.100000381469727
372,1qyb_A_Zn_1519_OK,190,9.699999809265137
373,1r4n_H_Zn_31632_OK,418,9.0
374,1r4v_A_Zn_1228_OK,151,4.0
375,1r4v_A_Zn_1229_OK,151,4.0
376,1r4v_A_Zn_1235_OK,151,4.0
377,1r8q_E_Zn_6093_OK,191,8.5
378,1rhf_A_Zn_2734_OK,176,12.899999618530273
379,1rhf_B_Zn_2734_OK,176,12.899999618530273
380,1ro2_A_Zn_1706_OK,210,9.0
381,1ro5_A_Zn_1592_OK,197,9.100000381469727
382,1rp0_A_Zn_4165_OK,278,8.0
383,1rpj_A_Zn_2135_OK,288,12.199999809265135
384,1s03_G_Zn_3950_OK,126,8.0
385,1s9z_A_Zn_145_OK,16,1.0
386,1sdx_A_Zn_2738_OK,335,8.199999809265138
387,1sed_C_Zn_2908_OK,112,6.0
388,1sgf_X_Zn_8555_OK,202,12.0
389,1sgf_Z_Zn_8555_OK,232,12.199999809265135
390,1shw_A_Zn_2660_OK,138,6.5999999046325675
391,1snn_A_Zn_3487_OK,219,7.300000190734862
392,1snn_A_Zn_3491_OK,219,7.300000190734862
393,1sw1_A_Zn_4325_OK,270,9.600000381469727
394,1sw1_A_Zn_4326_OK,270,9.600000381469727
395,1sw1_A_Zn_4328_OK,270,9.600000381469727
396,1sw1_A_Zn_4339_OK,270,9.600000381469727
397,1sw1_B_Zn_4325_OK,270,9.600000381469727
398,1sw1_B_Zn_4326_OK,270,9.600000381469727
399,1sw1_B_Zn_4339_OK,270,9.600000381469727
400,1sw1_B_Zn_4340_OK,270,9.600000381469727
401,1sw4_B_Zn_4337_OK,270,9.600000381469727
402,1t4k_B_Zn_6603_OK,217,12.100000381469727
403,1t4k_B_Zn_6604_OK,217,12.100000381469727
404,1t8k_A_Zn_611_OK,77,11.699999809265135
405,1t8k_A_Zn_613_OK,77,11.800000190734865
406,1t8k_A_Zn_614_OK,77,11.800000190734865
407,1t8k_A_Zn_615_OK,77,11.800000190734865
408,1t8k_A_Zn_618_OK,77,11.699999809265135
409,1t92_A_Zn_1689_OK,108,10.199999809265137
410,1t92_B_Zn_1689_OK,108,10.199999809265137
411,1taf_A_Zn_1088_OK,68,7.0
412,1taf_A_Zn_1089_OK,68,6.9000000953674325
413,1taf_A_Zn_1090_OK,68,7.0
414,1taf_A_Zn_1091_OK,68,7.0
415,1taf_B_Zn_1089_OK,70,8.0
416,1taf_B_Zn_1092_OK,70,8.0
417,1taf_B_Zn_1094_OK,70,8.0
418,1teh_B_Zn_5595_OK,373,11.0
419,1tlg_B_Zn_1959_OK,123,12.100000381469727
420,1ton_A_Zn_1736_OK,228,12.100000381469727
421,1tq7_A_Zn_2413_OK,44,3.2000000476837163
422,1u0a_A_Zn_6898_OK,214,10.5
423,1u0a_B_Zn_6945_OK,214,10.5
424,1u0a_D_Zn_6945_OK,214,10.5
425,1u7j_A_Zn_1653_OK,49,5.5
426,1u7j_A_Zn_1654_OK,49,5.5
427,1u7j_B_Zn_1653_OK,49,5.5
428,1u7j_B_Zn_1654_OK,49,5.5
429,1ud9_A_Zn_7519_OK,242,9.899999618530273
430,1ud9_A_Zn_7520_OK,242,10.100000381469727
431,1ud9_A_Zn_7521_OK,242,10.100000381469727
432,1ud9_A_Zn_7522_OK,242,10.100000381469727
433,1ud9_A_Zn_7523_OK,242,10.0
434,1ud9_A_Zn_7525_OK,242,10.0
435,1ud9_B_Zn_7528_OK,238,10.0
436,1ud9_B_Zn_7530_OK,238,10.0
437,1ud9_C_Zn_7528_OK,239,10.0
438,1ud9_C_Zn_7531_OK,239,10.0
439,1ud9_C_Zn_7533_OK,239,9.899999618530273
440,1ud9_C_Zn_7538_OK,239,9.899999618530273
441,1ud9_D_Zn_7522_OK,241,9.899999618530273
442,1ud9_D_Zn_7523_OK,241,10.0
443,1ud9_D_Zn_7536_OK,241,9.899999618530273
444,1ud9_D_Zn_7538_OK,241,10.0
445,1ud9_D_Zn_7539_OK,241,10.0
446,1ud9_D_Zn_7540_OK,241,10.0
447,1udv_A_Zn_1411_OK,88,6.699999809265138
448,1ue1_B_Zn_1728_OK,119,9.399999618530273
449,1uqw_A_Zn_7636_OK,487,11.199999809265137
450,1uqw_A_Zn_7637_OK,487,11.199999809265137
451,1uqw_A_Zn_7638_OK,487,11.199999809265137
452,1uqw_A_Zn_7639_OK,487,11.199999809265137
453,1uqw_A_Zn_7640_OK,487,11.199999809265137
454,1uqw_A_Zn_7641_OK,487,11.199999809265137
455,1uqw_A_Zn_7642_OK,487,11.199999809265137
456,1uqw_A_Zn_7643_OK,487,11.199999809265137
457,1uqw_A_Zn_7644_OK,487,11.199999809265137
458,1uqw_B_Zn_7657_OK,487,11.199999809265137
459,1uqw_B_Zn_7658_OK,487,11.199999809265137
460,1uvq_B_Zn_3111_OK,181,10.399999618530273
461,1v48_A_Zn_2036_OK,261,8.800000190734863
462,1v51_A_Zn_3601_OK,474,11.699999809265135
463,1v51_A_Zn_3602_OK,474,11.699999809265135
464,1v51_A_Zn_3605_OK,474,11.699999809265135
465,1v51_A_Zn_3606_OK,474,11.699999809265135
466,1v51_A_Zn_3607_OK,474,11.699999809265135
467,1v51_A_Zn_3608_OK,474,11.699999809265135
468,1v51_A_Zn_3609_OK,474,11.699999809265135
469,1v72_A_Zn_2582_OK,345,11.399999618530273
470,1v8d_A_Zn_4244_OK,189,3.5999999046325684
471,1v8d_A_Zn_4245_OK,189,3.5999999046325684
472,1v8n_A_Zn_1208_OK,150,10.300000190734863
473,1v8w_A_Zn_1240_OK,154,10.300000190734863
474,1v8y_A_Zn_1208_OK,150,10.399999618530273
475,1vcv_B_Zn_3464_OK,226,8.300000190734862
476,1ve0_A_Zn_1056_OK,134,7.300000190734862
477,1vec_A_Zn_3235_OK,206,11.800000190734865
478,1vf2_B_Zn_3681_OK,225,11.100000381469727
479,1vk9_A_Zn_1153_OK,147,5.300000190734863
480,1vk9_A_Zn_1154_OK,147,5.300000190734863
481,1vk9_A_Zn_1156_OK,147,5.300000190734863
482,1vk9_A_Zn_1157_OK,147,5.300000190734863
483,1vk9_A_Zn_1158_OK,147,5.300000190734863
484,1vpy_A_Zn_2000_OK,251,8.399999618530272
485,1vpy_A_Zn_2001_OK,251,8.399999618530272
486,1vpy_A_Zn_2002_OK,251,8.399999618530272
487,1vpy_A_Zn_2003_OK,251,8.399999618530272
488,1vs0_A_Zn_4874_OK,298,9.5
489,1vs0_B_Zn_4880_OK,304,9.800000190734863
490,1vsh_A_Zn_1129_OK,145,13.899999618530273
491,1vsh_A_Zn_1130_OK,145,13.800000190734865
492,1vsh_A_Zn_1132_OK,145,13.800000190734865
493,1vsl_A_Zn_1127_OK,146,13.699999809265135
494,1vsl_A_Zn_1128_OK,146,13.600000381469727
495,1vyk_A_Zn_1037_OK,129,5.9000000953674325
496,1vyk_A_Zn_1038_OK,129,6.0
497,1w9b_M_Zn_4338_OK,499,9.0
498,1waa_A_Zn_4225_OK,92,13.399999618530273
499,1waa_A_Zn_4226_OK,92,13.399999618530273
500,1waa_A_Zn_4240_OK,92,13.300000190734865
